"idCaptura";"fkMaquinaRecurso";"registro";"dthCriacao"
471;3;0.0;"2024-10-14 23:03:55"
472;4;1.0;"2024-10-14 23:03:55"
473;7;2159.0;"2024-10-14 23:03:55"
474;8;413.0;"2024-10-14 23:03:55"
475;10;2354614.0;"2024-10-14 23:03:55"
476;9;1416054.0;"2024-10-14 23:03:55"
477;1;4.8;"2024-10-14 23:04:25"
478;2;91.8;"2024-10-14 23:04:25"
479;5;0.0;"2024-10-14 23:04:25"
480;6;0.0;"2024-10-14 23:04:25"
481;3;0.0;"2024-10-14 23:04:25"
482;4;1.0;"2024-10-14 23:04:25"
483;7;2160.0;"2024-10-14 23:04:25"
484;8;413.0;"2024-10-14 23:04:25"
485;10;2355259.0;"2024-10-14 23:04:25"
486;9;1416528.0;"2024-10-14 23:04:25"
487;1;5.9;"2024-10-14 23:04:55"
488;2;91.5;"2024-10-14 23:04:55"
489;5;0.0;"2024-10-14 23:04:55"
490;6;0.0;"2024-10-14 23:04:55"
491;3;0.0;"2024-10-14 23:04:55"
492;4;1.0;"2024-10-14 23:04:55"
493;7;2160.0;"2024-10-14 23:04:56"
494;8;413.0;"2024-10-14 23:04:56"
495;10;2355439.0;"2024-10-14 23:04:56"
496;9;1416736.0;"2024-10-14 23:04:56"
497;1;4.2;"2024-10-14 23:05:25"
498;2;91.3;"2024-10-14 23:05:25"
499;5;0.0;"2024-10-14 23:05:25"
500;6;0.0;"2024-10-14 23:05:25"
501;3;0.0;"2024-10-14 23:05:25"
502;4;1.0;"2024-10-14 23:05:25"
503;7;2160.0;"2024-10-14 23:05:26"
504;8;413.0;"2024-10-14 23:05:26"
505;10;2355603.0;"2024-10-14 23:05:26"
506;9;1416926.0;"2024-10-14 23:05:26"
507;1;5.0;"2024-10-14 23:05:55"
508;2;91.6;"2024-10-14 23:05:55"
509;5;0.0;"2024-10-14 23:05:55"
510;6;0.0;"2024-10-14 23:05:55"
511;3;0.0;"2024-10-14 23:05:55"
512;4;1.0;"2024-10-14 23:05:55"
513;7;2160.0;"2024-10-14 23:05:57"
514;8;414.0;"2024-10-14 23:05:57"
515;10;2355750.0;"2024-10-14 23:05:57"
516;9;1417099.0;"2024-10-14 23:05:57"
517;1;6.8;"2024-10-14 23:06:25"
518;2;92.2;"2024-10-14 23:06:25"
519;5;0.0;"2024-10-14 23:06:25"
520;6;0.0;"2024-10-14 23:06:25"
521;3;0.0;"2024-10-14 23:06:25"
522;4;1.0;"2024-10-14 23:06:25"
523;7;2160.0;"2024-10-14 23:06:27"
524;8;414.0;"2024-10-14 23:06:27"
525;10;2356466.0;"2024-10-14 23:06:27"
526;9;1417692.0;"2024-10-14 23:06:27"
527;1;6.3;"2024-10-14 23:06:55"
528;2;92.0;"2024-10-14 23:06:55"
529;5;0.0;"2024-10-14 23:06:55"
530;6;0.0;"2024-10-14 23:06:55"
531;3;0.0;"2024-10-14 23:06:55"
532;4;1.0;"2024-10-14 23:06:55"
533;7;2160.0;"2024-10-14 23:06:58"
534;8;414.0;"2024-10-14 23:06:58"
535;10;2356701.0;"2024-10-14 23:06:58"
536;9;1417993.0;"2024-10-14 23:06:58"
537;1;4.2;"2024-10-14 23:07:25"
538;2;91.7;"2024-10-14 23:07:25"
539;5;0.0;"2024-10-14 23:07:25"
540;6;0.0;"2024-10-14 23:07:25"
541;3;0.0;"2024-10-14 23:07:25"
542;4;1.0;"2024-10-14 23:07:25"
543;7;2160.0;"2024-10-14 23:07:28"
544;8;414.0;"2024-10-14 23:07:28"
545;10;2357037.0;"2024-10-14 23:07:28"
546;9;1418314.0;"2024-10-14 23:07:29"
547;1;5.7;"2024-10-14 23:07:55"
548;2;92.1;"2024-10-14 23:07:55"
549;5;0.0;"2024-10-14 23:07:55"
550;6;0.0;"2024-10-14 23:07:55"
551;3;0.0;"2024-10-14 23:07:55"
552;4;1.0;"2024-10-14 23:07:55"
553;7;2161.0;"2024-10-14 23:07:59"
554;8;414.0;"2024-10-14 23:07:59"
555;10;2357469.0;"2024-10-14 23:07:59"
556;9;1418681.0;"2024-10-14 23:07:59"
557;1;5.9;"2024-10-14 23:08:25"
558;2;92.3;"2024-10-14 23:08:25"
559;5;0.0;"2024-10-14 23:08:25"
560;6;0.0;"2024-10-14 23:08:25"
561;3;0.0;"2024-10-14 23:08:25"
562;4;1.0;"2024-10-14 23:08:25"
563;7;2161.0;"2024-10-14 23:08:29"
564;8;414.0;"2024-10-14 23:08:29"
565;10;2357907.0;"2024-10-14 23:08:29"
566;9;1419080.0;"2024-10-14 23:08:30"
567;1;8.4;"2024-10-14 23:08:55"
568;2;93.9;"2024-10-14 23:08:55"
569;5;0.0;"2024-10-14 23:08:56"
570;6;0.0;"2024-10-14 23:08:56"
571;3;0.0;"2024-10-14 23:08:56"
572;4;1.0;"2024-10-14 23:08:56"
573;7;2161.0;"2024-10-14 23:09:00"
574;8;415.0;"2024-10-14 23:09:00"
575;10;2358659.0;"2024-10-14 23:09:00"
576;9;1419639.0;"2024-10-14 23:09:00"
577;1;4.8;"2024-10-14 23:09:26"
578;2;91.7;"2024-10-14 23:09:26"
579;5;0.0;"2024-10-14 23:09:26"
580;6;0.0;"2024-10-14 23:09:26"
581;3;0.0;"2024-10-14 23:09:26"
582;4;1.0;"2024-10-14 23:09:26"
583;7;2161.0;"2024-10-14 23:09:30"
584;8;415.0;"2024-10-14 23:09:30"
585;10;2359006.0;"2024-10-14 23:09:30"
586;9;1419963.0;"2024-10-14 23:09:30"
587;1;4.4;"2024-10-14 23:09:56"
